        # step       J       T       B             H             M           chi
         15900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         16900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         17900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         18900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         19900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         20900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         21900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22700     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22800     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         22900     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23000     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23100     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23200     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23300     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23400     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23500     1.0     1.0     2.0   -150.000000      1.000000      0.000000
         23600     1.0     1.0     2.0   -150.000000      1.000000      0.000000
